text,num,gender,f_form,fname,m_form
Беляков,7423,m,Белякова,,
Виноградова,7418,f,,,Виноградов
Комарова,7400,f,,,Комаров
Калашников,7373,m,Калашникова,,
Чернова,7372,f,,,Чернов
Мельник,7350,u,,,
Константинов,7349,m,Константинова,Константин,
Акимов,7327,m,Акимова,Аким,
Никулин,7326,m,Никулина,,
Аксенов,7277,m,Аксенова,Аксен,
Кудряшов,7267,m,Кудряшова,,
Демин,7265,m,Демина,,
Федотова,7252,f,,Федот,Федотов
Бородин,7242,m,Бородина,,
Герасимова,7231,f,,Герасим,Герасимов
Румянцев,7216,m,Румянцева,,
Василенко,7202,u,,,
Харченко,7188,u,,,
Грачев,7187,m,Грачева,,
Левин,7166,m,Левина,,
Хохлов,7155,m,Хохлова,,
Казанцев,7130,m,Казанцева,,
Коротков,7108,m,Короткова,,
Кириченко,7103,u,,,
Авдеев,7101,m,Авдеева,,
Павленко,7089,u,,,
Воронов,7014,m,Воронова,,
Фомина,6999,f,,,Фомин
Щербакова,6993,f,,,Щербаков
Некрасов,6988,m,Некрасова,,
Самойлов,6977,m,Самойлова,,
Романенко,6954,u,,,
Чернышев,6927,m,Чернышева,,
Ситников,6892,m,Ситникова,,
Бондарев,6881,m,Бондарева,,
Агафонов,6858,m,Агафонова,Агафон,
Суворов,6854,m,Суворова,,
Фадеев,6850,m,Фадеева,,
Гусейнов,6791,m,Гусейнова,Гусейн,
Еремин,6774,m,Еремина,,
Карпенко,6767,u,,,
Терентьев,6762,m,Терентьева,,
Голубева,6759,f,,,Голубев
Ермакова,6733,f,,Ермак,Ермаков
Ахмедов,6725,m,Ахмедова,Ахмед,
Коновалова,6712,f,,,Коновалов
Левченко,6701,u,,,
Исаков,6697,m,Исакова,Исак,
Исаева,6683,f,,,Исаев
Тихонова,6679,f,,Тихон,Тихонов
Леонтьев,6676,m,Леонтьева,,
Тихомиров,6660,m,Тихомирова,,
Горшков,6646,m,Горшкова,,
Маркова,6631,f,,Марк,Марков
Молчанов,6595,m,Молчанова,,
Лукин,6592,m,Лукина,,
Мухин,6590,m,Мухина,,
Дроздов,6578,m,Дроздова,,
Овчинникова,6547,f,,,Овчинников
Крюков,6538,m,Крюкова,,
Зверев,6515,m,Зверева,,
Спиридонов,6515,m,Спиридонова,Спиридон,
Быкова,6489,f,,Бык,Быков
Кузин,6477,m,Кузина,,
Копылов,6444,m,Копылова,,
Каримов,6433,m,Каримова,Карим,
Селезнев,6428,m,Селезнева,,
Чистяков,6374,m,Чистякова,,
Майоров,6348,m,Майорова,Майор,
Мартынова,6337,f,,Мартын,Мартынов
Кожевников,6333,m,Кожевникова,,
Хасанов,6328,m,Хасанова,Хасан,
Черепанов,6316,m,Черепанова,,
Гасанов,6314,m,Гасанова,Гасан,
Киреев,6311,m,Киреева,,
Потапова,6308,f,,Потап,Потапов
Пак,6296,u,,,
Чернышов,6295,m,Чернышова,,
Лазарева,6293,f,,,Лазарев
Горбунова,6289,f,,,Горбунов
Сулейманов,6281,m,Сулейманова,Сулейман,
Акопян,6273,u,,,
Крылова,6269,f,,,Крылов
Ермолаев,6255,m,Ермолаева,,
Гаджиев,6239,m,Гаджиева,,
Балашов,6214,m,Балашова,,
Садыков,6207,m,Садыкова,Садык,
Рыбаков,6198,m,Рыбакова,,
Мирошниченко,6195,u,,,
Платонов,6189,m,Платонова,Платон,
Горбачев,6187,m,Горбачева,,
Савельева,6162,f,,,Савельев
Кулаков,6159,m,Кулакова,,
Наумова,6152,f,,Наум,Наумов
Кузьменко,6146,u,,,
Головин,6130,m,Головина,,
