text,num,lett,gender
Аскер,1347,А,m
Индира,1342,И,f
Ара,1341,А,f
Григор,1340,Г,m
Леван,1336,Л,m
Генадий,1334,Г,m
Вагиф,1332,В,m
Малик,1331,М,m
Саида,1326,С,f
Ваган,1325,В,m
Рамзан,1323,Р,m
Сабир,1303,С,m
Таиса,1302,Т,f
Камо,1294,К,m
Мухтар,1285,М,m
Танзиля,1285,Т,f
Юлий,1285,Ю,m
Лаура,1284,Л,f
Ильсур,1280,И,m
Хадижат,1280,Х,u
Рамил,1275,Р,m
Гусейн,1271,Г,m
Дания,1271,Д,f
Мирослав,1268,М,m
Влада,1260,В,f
Теймураз,1249,Т,m
Гульфия,1248,Г,f
Эльчин,1244,Э,m
Сейран,1240,С,m
Ровшан,1229,Р,m
Ариф,1227,А,m
Рената,1221,Р,f
Бахтияр,1218,Б,m
Надир,1197,Н,m
Камил,1194,К,m
Вугар,1191,В,m
Закир,1183,З,m
Рузанна,1179,Р,f
Ильгам,1171,И,m
Эдвард,1171,Э,m
Анфиса,1170,А,f
Димитрий,1163,Д,m
Заира,1160,З,f
Азиз,1159,А,m
Юнус,1159,Ю,m
Фаиль,1150,Ф,m
Арнольд,1147,А,m
Эмин,1139,Э,m
Азер,1137,А,m
Эльбрус,1133,Э,m
Наира,1123,Н,f
Ева,1122,Е,f
Замир,1119,З,m
Фархад,1114,Ф,m
Руфина,1113,Р,f
Вартан,1112,В,m
Абдула,1111,А,m
Милена,1110,М,f
Гаджимурад,1105,Г,m
Хамит,1102,Х,m
Малика,1100,М,f
Миляуша,1096,М,f
Мартин,1094,М,m
Тенгиз,1091,Т,m
Айдын,1087,А,m
Игнат,1085,И,m
Хачатур,1084,Х,m
Хамзат,1067,Х,m
Шухрат,1062,Ш,m
Ваха,1057,В,m
Ильгар,1055,И,m
Айк,1055,А,m
Макар,1047,М,m
Венер,1046,В,m
Леонтий,1046,Л,m
Марта,1046,М,f
Амина,1045,А,f
Абдурахман,1041,А,m
Ким,1037,К,m
Нэлли,1036,Н,f
Аниса,1034,А,f
Урал,1031,У,m
Нинель,1029,Н,m
Радмир,1028,Р,m
Ираклий,1023,И,m
Лусине,1018,Л,f
Эдик,1016,Э,m
Хусейн,1016,Х,m
Румия,1015,Р,f
Салман,1015,С,m
Наил,1015,Н,m
Назир,1015,Н,m
Ильхам,1011,И,m
Аксана,1003,А,f
Гульсина,996,Г,f
Ляйсан,992,Л,f
Гарегин,992,Г,m
Зелимхан,986,З,m
Изабелла,982,И,f
Белла,981,Б,f
Халил,981,Х,m
Флюр,979,Ф,m
Шавкат,976,Ш,m
Владислава,973,В,f
Грант,971,Г,m
Батор,970,Б,m
Темур,965,Т,m
Нэля,964,Н,f
Рифкат,961,Р,m
Низами,959,Н,m
Норайр,959,Н,m
Карим,958,К,m
Теймур,956,Т,m
Нарине,954,Н,f
Матрена,947,М,f
Валериан,946,В,m
Василь,944,В,m
Башир,943,Б,m
Злата,939,З,f
Гарри,934,Г,m
Асмик,933,А,f
Рашида,931,Р,f
Нурлан,928,Н,m
Василина,925,В,f
Якуб,920,Я,m
Геворк,918,Г,m
Саргис,915,С,m
Гульнур,915,Г,f
Назар,914,Н,m
Ильназ,912,И,m
Мгер,911,М,m
Рузалия,910,Р,f
Ярослава,907,Я,f
Размик,904,Р,m
Радий,904,Р,m
Ильгизар,903,И,m
Расима,903,Р,f
Хава,901,Х,f
Тельман,900,Т,m
Альфира,899,А,f
Марине,896,М,f
Лилиана,892,Л,f
Дарима,891,Д,f
Мунир,887,М,m
Усман,886,У,m
Чингиз,885,Ч,m
Руслана,883,Р,f
Янис,881,Я,m
Вита,878,В,f
Гарник,878,Г,m
Эльшан,877,Э,m
Арташес,876,А,m
Харис,876,Х,m
Эльман,876,Э,m
Ия,875,И,f
Александp,875,,m
Ирма,870,И,f
Виль,869,В,m
Владилен,866,В,m
